Reaction times for the whole group
Subject, RT_CON, RT_INC, RT_McGURK_OK_inCON, RT_McGURK_OK_inINC, RT_McGURK_NO_inCON, RT_McGURK_NO_inINC

PIEMSI_1, 1.942, 1.991, 1.857, 1.878, 2.137, 2.071,
PIEMSI_13, 1.512, 1.534, 1.443, 1.458, 1.607, 1.650,
PIEMSI_14, 1.352, 1.930, 1.487, 1.478, 1.511, 1.486,
PIEMSI_15, 1.849, 1.781, 1.839, 1.647, 1.791, 1.849,
PIEMSI_24, 1.517, 1.565, 1.647, 1.572, 1.668, 1.673,
PIEMSI_28, 1.671, 1.705, 1.642, 1.689, 1.675, 1.796,
PIEMSI_32, 1.577, 1.602, 1.467, 1.481, 1.673, 1.674,
PIEMSI_41, 1.434, 1.476, 1.376, 1.368, 1.498, 1.491,
PIEMSI_48, 1.915, 1.831, 1.619, 1.565, 1.847, 1.903,
PIEMSI_61, 1.611, 1.640, 1.525, 1.494, 1.589, 1.601,
PIEMSI_66, 1.267, 1.315, 1.245, 1.273, 1.309, 1.299,
PIEMSI_69, 1.480, 1.572, 1.505, 1.516, 1.590, 1.528,
PIEMSI_73, 1.474, 1.501, 1.557, 1.514, 1.624, 1.597,
PIEMSI_74, 1.696, 1.752, 1.506, 1.543, 1.761, 1.663,
PIEMSI_82, 1.662, 1.698, 1.633, 1.655, 1.979, 1.872,
PIEMSI_98, 1.496, 1.558, 1.407, 1.419, 1.595, 1.530,



Responses for all McGurk movies
, ,Auditory Be - Visual Ge, ,Auditory Bi - Visual Gi, ,Auditory Pa - Visual Ka, ,Auditory Pe - Visual Ke, ,Auditory Pi - Visual Ki, ,
PIEMSI_1, 1.000, 1.000, 0.920, 0.923,   NaN,   NaN, 0.455, 0.304, 0.296, 0.320,
PIEMSI_13, 1.000, 0.969, 1.000, 1.000,   NaN,   NaN, 0.688, 0.613, 0.969, 0.875,
PIEMSI_14, 0.844, 0.667, 0.625, 0.613,   NaN,   NaN, 0.774, 0.581, 0.645, 0.519,
PIEMSI_15, 0.615, 0.462, 0.571, 0.414, 0.353, 0.350, 0.600, 0.458,   NaN,   NaN,
PIEMSI_24, 0.500, 0.567, 0.759, 0.893,   NaN,   NaN, 0.458, 0.423, 0.767, 0.621,
PIEMSI_28, 0.759, 0.800, 0.867, 0.833,   NaN,   NaN, 0.774, 0.815, 0.656, 0.571,
PIEMSI_32, 0.906, 0.931, 0.968, 0.968,   NaN,   NaN, 0.710, 0.552, 0.400, 0.310,
PIEMSI_41, 0.933, 0.906, 0.812, 1.000,   NaN,   NaN, 0.655, 0.621, 0.567, 0.594,
PIEMSI_48, 0.579, 0.474, 0.958, 0.913,   NaN,   NaN, 0.957, 0.905, 0.952, 0.913,
PIEMSI_61, 0.600, 0.276, 0.593, 0.520,   NaN,   NaN, 0.433, 0.464, 0.719, 0.593,
PIEMSI_66, 1.000, 0.969,   NaN,   NaN, 0.938, 0.938, 0.531, 0.562, 0.781, 0.688,
PIEMSI_69, 0.767, 0.774,   NaN,   NaN, 0.719, 0.594, 0.500, 0.375, 0.452, 0.531,
PIEMSI_73, 0.903, 0.600,   NaN,   NaN, 0.600, 0.355, 0.645, 0.438, 0.677, 0.516,
PIEMSI_74, 0.889, 0.778, 1.000, 0.931,   NaN,   NaN, 0.926, 0.968, 0.967, 0.969,
PIEMSI_82, 0.769, 0.536, 1.000, 1.000, 0.542, 0.609, 0.962, 0.962,   NaN,   NaN,
PIEMSI_98, 0.700, 0.333, 0.833, 0.933,   NaN,   NaN, 0.667, 0.733, 0.724, 0.844,
